date,home_team,away_team,home_win,runs_scored_diff,runs_allowed_diff,season_run_diff_diff,recent_win_pct_diff,rest_days_diff
2026-03-27,San Francisco Giants,New York Yankees,0,-7.0,-7.0,-14.0,-1.0,0
2026-03-27,Houston Astros,Los Angeles Angels,0,-3.0,-3.0,-6.0,-1.0,0
2026-03-27,San Diego Padres,Detroit Tigers,0,-6.0,-6.0,-12.0,-1.0,0
2026-03-27,Seattle Mariners,Cleveland Guardians,1,-2.0,-2.0,-4.0,-1.0,0
2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,1,6.0,6.0,12.0,1.0,0
2026-03-28,St. Louis Cardinals,Tampa Bay Rays,1,2.0,2.0,4.0,1.0,0
2026-03-28,Chicago Cubs,Washington Nationals,1,-6.0,-6.0,-12.0,-1.0,0
2026-03-28,Toronto Blue Jays,Athletics,1,1.0,1.0,2.0,1.0,0
2026-03-28,Baltimore Orioles,Minnesota Twins,0,1.0,1.0,2.0,1.0,0
2026-03-28,Philadelphia Phillies,Texas Rangers,0,2.0,2.0,4.0,1.0,0
2026-03-28,Cincinnati Reds,Boston Red Sox,1,-3.0,-3.0,-6.0,-1.0,0
2026-03-28,New York Mets,Pittsburgh Pirates,1,4.0,4.0,8.0,1.0,0
2026-03-28,Miami Marlins,Colorado Rockies,1,1.0,1.0,2.0,1.0,0
2026-03-28,Houston Astros,Los Angeles Angels,1,-3.5,-3.5,-7.0,-1.0,0
2026-03-28,Milwaukee Brewers,Chicago White Sox,1,12.0,12.0,24.0,1.0,0
2026-03-28,Atlanta Braves,Kansas City Royals,1,6.0,6.0,12.0,1.0,0
2026-03-28,San Francisco Giants,New York Yankees,0,-5.0,-5.0,-10.0,-1.0,0
2026-03-28,San Diego Padres,Detroit Tigers,1,-4.5,-4.5,-9.0,-1.0,0
2026-03-28,Los Angeles Dodgers,Arizona Diamondbacks,1,3.5,3.5,7.0,1.0,0
2026-03-28,Seattle Mariners,Cleveland Guardians,0,1.0,1.0,2.0,0.0,0
